LAMMPS data file via write_data, version 22 Sep 2017, timestep = 8200100

1728 atoms
2 atom types

-1.6119762500000001e+00 3.7981591090000002e+01 xlo xhi
-1.6119762500000001e+00 3.7981591090000002e+01 ylo yhi
-1.6119762500000001e+00 3.7981591090000002e+01 zlo zhi

Masses

1 22.99
2 35.453

PairIJ Coeffs # born/coul/long

1 1 6.081159945 0.317 2.340 24.180706607 -11.514622194 # Na-Na
2 2 3.648695967 0.317 3.170 1699.6202181 -3353.6337139 # Cl-Cl
1 2 4.864927956 0.317 2.755 161.20471071 -200.06656061 # Na-Cl

Atoms # full

1152 1152 2 -1.0000000000000000e+00 5.2120965693893755e+00 6.5234967513773183e+00 5.2888252171659655e-01 4 1 2
721 721 1 1.0000000000000000e+00 6.1140545498664043e+00 1.3000112518766207e+00 7.5122084669144700e+00 1 -2 0
407 407 1 1.0000000000000000e+00 1.0085531434469335e+01 1.6362221864601018e+01 1.7549974862726869e+00 3 11 -13
1406 1406 2 -1.0000000000000000e+00 -7.9857152657404160e-02 5.3688539347499864e+00 5.9707996447744023e+00 2 -1 2
1657 1657 2 -1.0000000000000000e+00 4.8593209098082539e+00 6.8376832202835605e+00 4.8665585193445002e+00 2 -1 18
1188 1188 2 -1.0000000000000000e+00 7.3790084126987168e+00 5.3918626953775706e-01 5.2734050147488061e+00 -7 2 -17
195 195 1 1.0000000000000000e+00 -8.9685312723730939e-02 9.7742996413260053e-01 -8.3664923423077175e-01 1 3 -5
1218 1218 2 -1.0000000000000000e+00 5.6666090674315062e-01 6.0026624734010339e+00 2.3922454343042818e+00 -3 8 -5
1372 1372 2 -1.0000000000000000e+00 7.2137396562351208e+00 3.8390005128653097e+00 7.1228326320458519e+00 -2 0 0
1235 1235 2 -1.0000000000000000e+00 3.7802649759287266e-01 1.6078281640761365e+00 1.6992036270689979e+00 7 3 3
180 180 1 1.0000000000000000e+00 6.5818971588326736e-01 7.6647553384994662e+00 4.5935405121560615e+00 -3 -1 -1
624 624 1 1.0000000000000000e+00 3.3127078754678146e-01 3.6443691584229803e+00 3.4288989632031188e+00 1 3 -7
810 810 1 1.0000000000000000e+00 9.0501178944159122e+00 1.7615806607799133e+01 8.1667285300293599e+00 1 -9 5
226 226 1 1.0000000000000000e+00 5.1258087007040078e+00 3.2985399594484632e+00 -1.4501006050245449e+00 -10 -4 9
1428 1428 2 -1.0000000000000000e+00 2.0457947010976096e+00 8.5827283089758524e+00 6.3409121355984877e-01 -9 -2 -2
1497 1497 2 -1.0000000000000000e+00 2.5963925467272295e+00 2.6824417974713732e+00 -5.0578517088795394e-01 -5 -2 -3
751 751 1 1.0000000000000000e+00 3.6569519664239680e-01 -4.6115088667587240e-01 2.6776705801979541e+00 -1 1 5
244 244 1 1.0000000000000000e+00 8.3839888641737197e+00 2.6495185905001883e+00 3.7451766003392541e+00 -4 0 -5
1277 1277 2 -1.0000000000000000e+00 8.4093118951210073e+00 3.2029002866985818e+00 1.4858107906701099e+00 8 -4 0
246 246 1 1.0000000000000000e+00 1.1303647723151466e+00 5.9114633854732572e+00 -4.5978801212846851e-02 -3 -6 -2
54 54 1 1.0000000000000000e+00 3.5652764506830015e+00 6.2887348668355729e+00 2.5751293228179191e+00 -1 8 3
378 378 1 1.0000000000000000e+00 7.9127179500050078e+00 -5.4317083539185484e-01 8.9631549920951903e-01 4 1 0
64 64 1 1.0000000000000000e+00 1.2014926762778695e+00 4.3788790433134128e+00 7.7713463029612120e+00 1 -4 6
586 586 1 1.0000000000000000e+00 4.6869280690874788e+00 5.8108696742575070e+00 7.1545506298560957e+00 1 0 9
1562 1562 2 -1.0000000000000000e+00 1.6349054139200813e+01 1.7857825311731926e+01 7.6656370885586522e+00 2 1 7
459 459 1 1.0000000000000000e+00 7.8840520156227498e+00 6.0456560462391282e+00 6.1553055838824280e+00 -7 -1 9
728 728 1 1.0000000000000000e+00 7.7146229542979929e+00 5.9542197098232146e+00 5.0797367005146299e-01 4 1 1
1323 1323 2 -1.0000000000000000e+00 5.9711239606295861e+00 1.1421809127022000e+00 -8.7019994931201061e-01 -8 -13 4
611 611 1 1.0000000000000000e+00 3.7142245588103031e+00 8.5406026639570698e-02 -2.5434824547095708e-01 6 -1 -11
1469 1469 2 -1.0000000000000000e+00 1.0504904245291410e+01 5.1271742187512825e-01 2.0787736936988304e+00 5 9 11
1338 1338 2 -1.0000000000000000e+00 1.3168056047785027e+01 2.0820405012684078e+00 -1.0000527691184098e+00 -10 1 7
1411 1411 2 -1.0000000000000000e+00 8.5465463370813293e+00 8.1929135152865982e+00 5.0516542418426900e+00 0 -8 -1
650 650 1 1.0000000000000000e+00 1.2078876670167135e+01 -4.0110639677145543e-01 -5.6935184172500757e-02 0 5 -1
260 260 1 1.0000000000000000e+00 1.5194759288582590e+01 8.4762633999287429e-01 1.2969460709759173e+00 5 0 5
661 661 1 1.0000000000000000e+00 1.0219451709226361e+01 8.2926745601396021e+00 3.4131372312374140e+00 2 7 0
1637 1637 2 -1.0000000000000000e+00 1.0526134100868749e+01 4.1910751606715628e+00 5.8740203965361868e+00 0 0 -1
766 766 1 1.0000000000000000e+00 1.6704980815418967e+01 4.3644326727818976e+00 1.5504037920433669e+00 -1 1 -3
1610 1610 2 -1.0000000000000000e+00 1.6096561236052533e+01 3.3674178314741652e+00 7.5771087941701225e+00 3 -3 6
640 640 1 1.0000000000000000e+00 1.4781116610547198e+01 6.3136429108043690e-01 6.7189837353406796e+00 -8 6 1
